TodayDate,Stonk,NextExpDate,OpenPrice,LowPrice,ClosePrice,HighPrice,Volume,VolumeIncrease%,Call-MaxOpenInterest,Call-StrikePrice,Put-MaxOpenInterest,Put-StrikePrice,UpFromYesterday,UpToday,CloseSplitsStrikes
07/26/22,AA,07-29-2022,47.13,46.16,46.99,48.2247,5336657,-28.70%,922,50.0,1179,40.0,0.41%,-0.30%,True
07/26/22,AAP,08-19-2022,186,182.5,182.87,186.39,727577,13.61%,186,210.0,563,100.0,-3.56%,-1.68%,True
07/26/22,AAPL,07-29-2022,152.265,150.8,151.6,153.085,55138691,-21.37%,34113,160.0,45312,140.0,-0.88%,-0.44%,True
07/26/22,ACM,08-19-2022,68.62,68.395,69.27,69.685,563855,17.80%,1017,65.0,169,62.5,0.87%,0.95%,False
07/26/22,ADBE,07-29-2022,393.58,378.16,379.26,393.58,2368512,4.65%,780,405.0,577,360.0,-3.24%,-3.64%,True
07/26/22,ADI,07-29-2022,163.55,161.255,161.78,164.265,3151315,-1.51%,180,167.5,1862,155.0,-0.77%,-1.08%,True
07/26/22,ADP,07-29-2022,218.15,216.36,217.91,220,1559545,-2.52%,273,220.0,1424,155.0,-0.22%,-0.11%,True
07/26/22,ADSK,07-29-2022,196.34,192.17,193.07,196.92,1470666,-3.40%,845,295.0,817,115.0,-1.35%,-1.67%,True
07/26/22,ALGN,07-29-2022,253.16,247.11,251.86,253.16,1334959,48.35%,1277,400.0,1430,150.0,-0.08%,-0.51%,True
07/26/22,AMAT,07-29-2022,100.58,98.57,98.91,100.98,5073857,-21.39%,1807,92.0,1447,83.0,-2.07%,-1.66%,False
07/26/22,AMD,07-29-2022,87,84.71,85.25,87.749,69180367,-16.14%,13586,90.0,6158,85.0,-2.62%,-2.01%,True
07/26/22,AMGN,07-29-2022,249.63,248.75,251.14,253.765,2528642,5.99%,519,255.0,675,230.0,0.97%,0.60%,True
07/26/22,AMZN,07-29-2022,115.79,114.53,114.81,118.15,67075064,7.29%,22783,130.0,14101,100.0,-5.23%,-0.85%,True
07/26/22,APPS,07-29-2022,18.825,18.06,18.56,18.88,2145697,-12.53%,855,21.0,11914,16.0,-3.43%,-1.41%,True
07/26/22,ARKK,07-29-2022,44.77,43.411,43.47,44.78,19099251,-20.26%,7504,50.0,7807,40.0,-4.78%,-2.90%,True
07/26/22,ASML,07-29-2022,528.05,518.54,524.17,529.64,1029494,-36.32%,132,535.0,317,390.0,-2.75%,-0.73%,True
07/26/22,AVGO,07-29-2022,514.63,508.92,511.09,516.81,1795782,-9.08%,1792,830.0,482,330.0,-0.39%,-0.69%,True
07/26/22,AXON,08-19-2022,100.89,97.86,98.84,100.89,263859,0.41%,586,105.0,364,45.0,-2.52%,-2.03%,False
07/26/22,BA,07-29-2022,155.24,154.5,155.92,158.18,6053054,-35.91%,3159,165.0,3009,155.0,-0.46%,0.44%,True
07/26/22,BABA,07-29-2022,104.31,100.81,101.44,105.25,28004262,31.47%,9890,110.0,7426,90.0,0.38%,-2.75%,False
07/26/22,BIDU,07-29-2022,142.85,137.43,138.17,143.26,1768708,-9.42%,935,150.0,300,130.0,-1.48%,-3.28%,True
07/26/22,BIIB,07-29-2022,206.7,206.7,210.85,214.02,916183,-15.74%,210,215.0,209,195.0,1.58%,2.01%,True
07/26/22,BILI,07-29-2022,26.1,24.7278,24.96,26.16,3948895,-16.64%,720,35.0,1694,25.0,-3.63%,-4.37%,False
07/26/22,BKNG,07-29-2022,1820.63,1794.75,1795.8,1824.5525,300380,-25.82%,718,1945.0,722,1650.0,-2.12%,-1.36%,True
07/26/22,CHTR,07-29-2022,479.02,474.18,479.01,482.69,774051,-21.83%,205,490.0,1016,475.0,0.01%,0.00%,True
07/26/22,COIN,07-29-2022,61.69,52.63,52.93,62.89,26875839,52.59%,5555,80.0,5649,55.0,-21.08%,-14.20%,False
07/26/22,COST,07-29-2022,515,508.76,511.93,519.685,3334847,47.46%,1938,720.0,961,520.0,-3.25%,-0.60%,False
07/26/22,CPRT,08-19-2022,120.11,118.83,119.65,120.35,558398,-54.54%,404,125.0,404,115.0,-0.99%,-0.38%,True
07/26/22,CRWD,07-29-2022,182.17,168.1,169.17,182.61,3533736,35.41%,1313,200.0,572,180.0,-7.37%,-7.14%,False
07/26/22,CSCO,07-29-2022,44.37,43.75,43.83,44.54,19513029,15.48%,5429,45.0,3863,44.0,-1.15%,-1.22%,False
07/26/22,CUBE,08-19-2022,43.31,43.16,43.71,43.83,941112,-16.30%,3045,50.0,166,50.0,0.53%,0.92%,False
07/26/22,DOCS,08-19-2022,41.29,39.85,40.44,41.42,940837,-49.43%,6115,45.0,4380,40.0,-2.67%,-2.06%,True
07/26/22,DOCU,07-29-2022,63.41,59.88,60.21,63.41,2963758,-10.62%,890,70.0,1241,35.0,-5.03%,-5.05%,True
07/26/22,DWAC,07-29-2022,30.73,29.89,30.17,31.62,582634,-53.69%,2758,50.0,6713,20.0,-2.68%,-1.82%,True
07/26/22,EBAY,07-29-2022,45.39,45.245,45.66,45.79,3834191,-14.04%,3116,47.0,1200,38.5,-1.93%,0.59%,True
