Date,Day,Ticker,TargetPrice,Open,Close,High,Low,KUp,CompareYesteday,JumpPass,RealPass,LinePass,L-Cross,L-Above,NextDay%,NextDay/YesterdayComp
10/18/21,Monday,NVDA,,217.49,222.22,222.91,216.44,True,0,,False,,False,,0.06%,0.31%
10/19/21,Tuesday,NVDA,,222.76,222.9,223.79,220.37,True,1,,False,,False,,-0.90%,-0.84%
10/20/21,Wednesday,NVDA,,223.045,221.03,224.33,219.82,False,0,,False,,False,,2.69%,2.66%
10/21/21,Thursday,NVDA,,220.97,226.92,227.11,220.83,True,0,,False,,False,,-0.43%,0.15%
10/22/21,Friday,NVDA,,228.23,227.26,231.3,225.61,False,1,,False,,False,,0.84%,1.94%
10/25/21,Monday,NVDA,,229.73,231.66,233.5499,227.7,True,1,,False,,False,,3.03%,6.70%
10/26/21,Tuesday,NVDA,,239.89,247.17,252.59,239.24,True,1,,False,,False,,-0.09%,-1.08%
10/27/21,Wednesday,NVDA,,244.74,244.51,250.9,242.8201,False,0,,False,,False,,0.25%,2.00%
10/28/21,Thursday,NVDA,,248.78,249.41,249.5,245.23,True,1,,False,,False,,2.27%,2.51%
10/29/21,Friday,NVDA,,250.005,255.67,257.09,250,True,1,,False,,False,,0.69%,1.02%
11/01/21,Monday,NVDA,,256.49,258.27,258.94,252.27,True,1,,False,,False,,2.24%,2.22%
11/02/21,Tuesday,NVDA,,258.22,264.01,266.78,258,True,1,,False,,False,,-0.27%,0.75%
11/03/21,Wednesday,NVDA,,266.7,265.98,267.84,262.35,False,1,,False,,False,,9.45%,12.04%
11/04/21,Thursday,NVDA,,272.29,298.01,313.65,271.18,True,1,,False,,False,,-1.44%,-0.16%
11/05/21,Friday,NVDA,,301.87,297.52,314,294.1,False,0,,False,,False,,2.17%,3.54%
11/08/21,Monday,NVDA,,301.49,308.04,311,299.07,True,0,,False,,False,,-5.03%,-0.48%
11/09/21,Tuesday,NVDA,,322.82,306.57,323.1,299.64,False,0,,False,,False,,0.35%,-3.91%
11/10/21,Wednesday,NVDA,,293.56,294.59,308.5,287.78,True,-1,,False,,False,,-0.26%,3.16%
11/11/21,Thursday,NVDA,,304.68,303.9,305.9,297.7701,False,1,,False,,False,,1.27%,0.00%
11/12/21,Friday,NVDA,,300.1,303.9,306.8,296.3,True,0,,False,,False,,-1.72%,-1.20%
11/15/21,Monday,NVDA,,305.52,300.25,306.44,292.47,False,0,,False,,False,
10/18/21,Monday,PYPL,,266.39,270.33,270.44,264.71,True,0,,False,,False,,0.25%,0.51%
10/19/21,Tuesday,PYPL,,271.01,271.7,273.27,269.835,True,1,,False,,False,,-5.36%,-4.91%
10/20/21,Wednesday,PYPL,,273,258.36,273.51,253.1,False,0,,False,,False,,-5.95%,-5.86%
10/21/21,Thursday,PYPL,,258.61,243.21,258.96,242.98,False,-1,,False,,False,,-1.37%,-1.16%
10/22/21,Friday,PYPL,,243.73,240.4,246.66,239.75,False,-1,,False,,False,,-3.17%,2.70%
10/25/21,Monday,PYPL,,254.955,246.88,255.52,245.82,False,1,,False,,False,,-2.59%,-1.57%
10/26/21,Tuesday,PYPL,,249.45,243,249.88,241.01,False,-1,,False,,False,,-3.65%,-3.32%
10/27/21,Wednesday,PYPL,,243.85,234.94,244.6899,233.92,False,-1,,False,,False,,-0.07%,0.80%
10/28/21,Thursday,PYPL,,237,236.83,237.94,232.78,False,0,,False,,False,,-1.21%,-1.79%
10/29/21,Friday,PYPL,,235.43,232.59,238.9,231.71,False,-1,,False,,False,,-0.61%,-0.56%
11/01/21,Monday,PYPL,,232.7,231.28,233.55,230.19,False,-1,,False,,False,,-1.32%,-0.79%
11/02/21,Tuesday,PYPL,,232.54,229.46,232.761,227.8,False,-1,,False,,False,,0.90%,0.40%
11/03/21,Wednesday,PYPL,,228.33,230.38,230.9,225.3101,True,0,,False,,False,,-1.46%,-0.94%
11/04/21,Thursday,PYPL,,231.61,228.22,231.92,225,False,0,,False,,False,,-1.83%,-1.07%
11/05/21,Friday,PYPL,,230,225.78,230.42,224.6,False,-1,,False,,False,,0.64%,1.61%
11/08/21,Monday,PYPL,,227.96,229.42,230.97,226.25,True,0,,False,,False,,-3.29%,-10.46%
11/09/21,Tuesday,PYPL,,212.4,205.42,212.4,200.68,False,-1,,False,,False,,0.26%,-0.38%
