Date,Day,Ticker,TargetPrice,Open,Close,High,Low,KUp,CompareYesteday,JumpPass,RealPass,LinePass,L-Cross,L-Above,NextDay%,NextDay/YesterdayComp
09/29/21,Wednesday,NVDA,217.96,209.395,205.17,210.17,204.67,False,-1,0,False,False,False,1,-0.25%,0.97%
09/30/21,Thursday,NVDA,217.56,207.684,207.16,210.66,206.88,False,0,0,False,False,False,1,-0.04%,0.13%
10/01/21,Friday,NVDA,216.85,207.5,207.42,208.59,202.03,False,0,0,False,False,False,1,-3.77%,-4.87%
10/04/21,Monday,NVDA,215.64,205.04,197.32,205.4179,195.55,False,-1,0,False,False,False,1,2.51%,3.64%
10/05/21,Tuesday,NVDA,213.6,199.5,204.51,206.48,198.54,True,0,0,False,False,False,1,2.88%,1.22%
10/06/21,Wednesday,NVDA,210.75,201.2,207,207.2,200.8,True,1,0,False,False,False,1,-0.08%,1.81%
10/07/21,Thursday,NVDA,206.78,210.92,210.75,213.22,209.72,False,1,1,False,False,True,-1,-1.28%,-1.16%
10/08/21,Friday,NVDA,204.76,211.01,208.31,212.06,207.75,False,0,0,False,False,False,-1,0.58%,-0.65%
10/11/21,Monday,NVDA,204.8,205.75,206.95,210.63,205.11,True,-1,0,False,False,False,-1,-0.75%,-0.12%
10/12/21,Tuesday,NVDA,205.7,208.275,206.71,210.57,205.28,False,0,0,False,True,True,0,0.10%,1.30%
10/13/21,Wednesday,NVDA,205.9,209.18,209.39,209.9,207.13,True,1,0,False,False,False,-1,2.15%,3.85%
10/14/21,Thursday,NVDA,,212.88,217.46,217.55,211.2201,True,1,,False,,False,,0.24%,0.53%
10/15/21,Friday,NVDA,,218.1,218.62,219.31,216.62,True,1,,False,,False,,2.17%,1.65%
10/18/21,Monday,NVDA,208.19,217.49,222.22,222.91,216.44,True,0,0,False,False,False,-1,0.06%,0.31%
10/19/21,Tuesday,NVDA,209.93,222.76,222.9,223.79,220.37,True,1,0,False,False,False,-1,-0.90%,-0.84%
10/20/21,Wednesday,NVDA,211.24,223.045,221.03,224.33,219.82,False,0,0,False,False,False,-1,2.69%,2.66%
10/21/21,Thursday,NVDA,213.56,220.97,226.92,227.11,220.83,True,0,0,False,False,False,-1,-0.43%,0.15%
10/22/21,Friday,NVDA,216.22,228.23,227.26,231.3,225.61,False,1,0,False,False,False,-1,0.84%,1.94%
10/25/21,Monday,NVDA,218.6,229.73,231.66,233.5499,227.7,True,1,0,False,False,False,-1,3.03%,6.70%
10/26/21,Tuesday,NVDA,221.53,239.89,247.17,252.59,239.24,True,1,0,False,False,False,-1,-0.09%,-1.08%
10/27/21,Wednesday,NVDA,223.16,244.74,244.51,250.9,242.8201,False,0,0,False,False,False,-1,0.25%,2.00%
10/28/21,Thursday,NVDA,,248.78,249.41,249.5,245.23,True,1,,False,,False,,2.27%,2.51%
10/29/21,Friday,NVDA,,250.005,255.67,257.09,250,True,1,,False,,False,,0.79%,1.11%
11/01/21,Monday,NVDA,,256.49,258.52,258.94,252.27,True,1,,False,,False,,2.24%,2.12%
11/02/21,Tuesday,NVDA,,258.22,264.01,266.78,258,True,1,,False,,False,
10/12/21,Tuesday,PYPL,,256,255.85,257.97,253.78,False,0,,False,,False,,-0.92%,0.20%
10/13/21,Wednesday,PYPL,,258.73,256.36,261.24,254.245,False,1,,False,,False,,1.89%,3.94%
10/14/21,Thursday,PYPL,,261.5,266.45,267.41,260.2,True,1,,False,,False,,-0.13%,0.71%
10/15/21,Friday,PYPL,,268.7006,268.35,269.7209,265.44,False,1,,False,,False,,1.48%,0.74%
10/18/21,Monday,PYPL,,266.39,270.33,270.44,264.71,True,0,,False,,False,,0.25%,0.51%
10/19/21,Tuesday,PYPL,,271.01,271.7,273.27,269.835,True,1,,False,,False,,-5.36%,-4.91%
10/20/21,Wednesday,PYPL,,273,258.36,273.51,253.1,False,0,,False,,False,,-5.95%,-5.86%
10/21/21,Thursday,PYPL,,258.61,243.21,258.96,242.98,False,-1,,False,,False,,-1.37%,-1.16%
10/22/21,Friday,PYPL,,243.73,240.4,246.66,239.75,False,-1,,False,,False,,-3.17%,2.70%
10/25/21,Monday,PYPL,,254.955,246.88,255.52,245.82,False,1,,False,,False,,-2.59%,-1.57%
10/26/21,Tuesday,PYPL,,249.45,243,249.88,241.01,False,-1,,False,,False,,-3.65%,-3.32%
10/27/21,Wednesday,PYPL,,243.85,234.94,244.6899,233.92,False,-1,,False,,False,,-0.07%,0.80%
10/28/21,Thursday,PYPL,,237,236.83,237.94,232.78,False,0,,False,,False,,-1.21%,-1.79%
10/29/21,Friday,PYPL,,235.43,232.59,238.9,231.71,False,-1,,False,,False,,-0.61%,-0.56%
11/01/21,Monday,PYPL,,232.7,231.28,233.55,230.19,False,-1,,False,,False,,-1.32%,-0.79%
11/02/21,Tuesday,PYPL,,232.54,229.46,232.761,227.8,False,-1,,False,,False,,0.90%,0.40%
11/03/21,Wednesday,PYPL,,228.33,230.38,230.9,225.3101,True,0,,False,,False,,-1.46%,-0.94%
11/04/21,Thursday,PYPL,,231.61,228.22,231.92,225,False,0,,False,,False,,-1.83%,-1.07%
11/05/21,Friday,PYPL,,230,225.78,230.42,224.6,False,-1,,False,,False,,0.64%,1.61%
11/08/21,Monday,PYPL,,227.96,229.42,230.97,226.25,True,0,,False,,False,,-3.29%,-10.46%
11/09/21,Tuesday,PYPL,,212.4,205.42,212.4,200.68,False,-1,,False,,False,,0.26%,-0.38%
11/10/21,Wednesday,PYPL,201,204.1,204.64,208.2,202.78,True,-1,0,False,False,False,-1
09/29/21,Wednesday,TSLA,751.5,779.8,781.31,793.5,770.68,True,0,0,False,False,False,-1,-0.71%,-0.75%
09/30/21,Thursday,TSLA,756.81,781,775.48,789.1305,775,False,0,0,False,False,False,-1,-0.41%,-0.03%
10/01/21,Friday,TSLA,764.7,778.4,775.22,780.78,763.59,False,-1,0,False,True,True,0,-1.88%,0.81%
10/04/21,Monday,TSLA,771.7,796.5,781.53,806.9699,776.12,False,1,0,False,False,False,-1,-0.54%,-0.12%
10/05/21,Tuesday,TSLA,775.63,784.7962,780.59,797.31,774.2,False,-1,0,False,True,True,0,0.84%,0.28%
10/06/21,Wednesday,TSLA,778.94,776.2,782.75,786.66,773.22,True,0,0,True,False,True,0,1.04%,1.39%
10/07/21,Thursday,TSLA,780.4,785.46,793.61,805,783.38,True,1,0,False,False,False,-1,-1.35%,-1.02%
10/08/21,Friday,TSLA,778.7,796.21,785.49,796.38,780.91,False,0,0,False,False,False,-1,0.54%,0.82%
10/11/21,Monday,TSLA,779.5,787.65,791.94,801.24,785.5,True,0,0,False,False,False,-1,0.60%,1.74%
10/12/21,Tuesday,TSLA,781.54,800.93,805.72,812.32,796.57,True,1,0,False,False,False,-1,0.08%,0.67%
10/13/21,Wednesday,TSLA,783.2,810.47,811.08,815.41,805.78,True,1,0,False,False,False,-1,0.35%,0.89%
10/14/21,Thursday,TSLA,,815.49,818.32,820.25,813.3501,True,1,,False,,False,,2.34%,3.02%
10/15/21,Friday,TSLA,,823.7384,843.03,843.21,822.35,True,1,,False,,False,,2.15%,3.21%
10/18/21,Monday,TSLA,795.1,851.79,870.11,875.26,851.47,True,1,0,False,False,False,-1,-1.51%,-0.67%
10/19/21,Tuesday,TSLA,801.03,877.53,864.27,877.95,862.51,False,0,0,False,False,False,-1,0.05%,0.18%
10/20/21,Wednesday,TSLA,809.26,865.35,865.8,869.49,857.38,True,0,0,False,False,False,-1,4.44%,3.26%
10/21/21,Thursday,TSLA,823.37,856,894,900,855.5046,True,0,0,False,False,False,-1,1.58%,1.75%
10/22/21,Friday,TSLA,835.42,895.5,909.68,910,890.96,True,1,0,False,False,False,-1,7.82%,12.66%
10/25/21,Monday,TSLA,845.44,950.53,1024.86,1045.02,944.2,True,1,0,False,False,False,-1,-0.61%,-0.63%
10/26/21,Tuesday,TSLA,859.26,1024.69,1018.43,1094.94,1001.44,False,0,0,False,False,False,-1,-0.17%,1.91%
10/27/21,Wednesday,TSLA,874.48,1039.66,1037.86,1070.88,1030.78,False,1,0,False,False,False,-1,0.82%,3.78%
10/28/21,Thursday,TSLA,,1068.305,1077.04,1081,1054.2,True,1,,False,,False,,2.97%,3.43%
10/29/21,Friday,TSLA,,1081.86,1114,1115.21,1073.205,True,1,,False,,False,,5.58%,8.52%
11/01/21,Monday,TSLA,,1145,1208.92,1209.75,1118.66,True,1,,False,,False,,1.09%,-3.06%
11/02/21,Tuesday,TSLA,,1159.355,1171.97,1208.59,1146,True,0,,False,,False,
09/29/21,Wednesday,RBLX,80.7,77.32,76.31,79.0749,76.26,False,-1,0,False,False,False,1,-1.45%,-1.00%
09/30/21,Thursday,RBLX,80.55,76.66,75.55,76.7671,74.05,False,-1,0,False,False,False,1,-0.53%,0.05%
10/01/21,Friday,RBLX,80.44,75.99,75.59,75.99,73.48,False,0,0,False,False,False,1,3.21%,2.92%
10/04/21,Monday,RBLX,80.02,75.38,77.8,78.21,74.5,True,0,0,False,False,False,1,-4.70%,-6.72%
10/05/21,Tuesday,RBLX,79.07,76.15,72.57,76.3428,72.32,False,0,0,False,False,False,1,2.28%,1.56%
10/06/21,Wednesday,RBLX,77.96,72.06,73.7,74.4,71.1,True,0,0,False,False,False,1,0.94%,1.49%
10/07/21,Thursday,RBLX,77.05,74.1,74.8,76.4,73.02,True,1,0,False,False,False,1,-6.21%,-5.83%
10/08/21,Friday,RBLX,75.88,75.1,70.44,75.2,70.1901,False,0,0,False,False,False,1,-0.58%,-0.31%
10/11/21,Monday,RBLX,75.28,70.63,70.22,71.85,69.77,False,-1,0,False,False,False,1,1.84%,2.39%
10/12/21,Tuesday,RBLX,75,70.6,71.9,72,70.2,True,0,0,False,False,False,1,3.37%,4.01%
10/13/21,Wednesday,RBLX,74.17,72.34,74.78,75.0682,72.2,True,1,0,True,False,True,0,-1.55%,-0.58%
10/14/21,Thursday,RBLX,,75.52,74.35,75.84,74.23,False,0,,False,,False,,2.22%,3.00%
10/15/21,Friday,RBLX,,74.92,76.58,77.21,74.1,True,0,,False,,False,,0.44%,1.59%
10/18/21,Monday,RBLX,72.64,77.46,77.8,78.37,76.23,True,1,0,False,False,False,-1,1.16%,1.76%
10/19/21,Tuesday,RBLX,72.75,78.26,79.17,79.42,78.2,True,1,0,False,False,False,-1,-1.03%,-0.75%
10/20/21,Wednesday,RBLX,73.04,79.4,78.58,80.17,78.4,False,0,0,False,False,False,-1,6.53%,5.87%
10/21/21,Thursday,RBLX,74.27,78.09,83.19,83.77,77.01,True,0,0,False,False,False,-1,2.60%,0.95%
10/22/21,Friday,RBLX,75.76,81.85,83.98,84.7799,80.71,True,1,0,False,False,False,-1,2.07%,-0.92%
10/25/21,Monday,RBLX,76.88,81.52,83.21,85.13,81.28,True,-1,0,False,False,False,-1,-0.37%,-2.79%
10/26/21,Tuesday,RBLX,78.28,81.19,80.89,84.75,80.83,False,-1,0,False,False,False,-1,-0.80%,-0.26%
10/27/21,Wednesday,RBLX,79.88,81.33,80.68,82.95,80.4601,False,0,0,False,False,False,-1,2.26%,2.57%
